Nfrequ1,Nfrequ2,Nfrequ3,max_disp_cm,Mass_Kg,util_average
1.3,2.5,3.9,5.985,115121,0.990649
1.6,3.1,6,1.71,270596,0.271938
1.2,2.7,4.1,4.845,267627,0.852975
3.3,4,5,5.7,122077,0.53089
1.3,1.4,1.9,52.155,145669,3.097122
5.2,6.5,6.6,1.995,161665,0.477333
2.4,4,6,1.995,203189,0.337599
1.7,2.3,2.9,15.675,85033,0.972804
0.9,1.1,2.7,20.52,189245,1.870092
3.5,4.7,5,3.42,241166,0.441177
2.8,3.1,5,3.99,297534,0.726906
3,3.7,5.8,5.985,211011,0.507669
3,3.9,4,6.27,145545,0.689398
2.1,3.7,5.1,2.28,120713,0.651658
1.4,2.3,3.5,3.705,104937,0.512232
0.2,0.5,0.7,3963.78,135555,26.799202
1.5,3.1,5,3.42,239604,0.618743
1,1.6,3.5,8.265,352204,1.174613
0.6,0.9,1.7,165.3,138336,5.292092
2.5,4,4.2,5.7,153508,0.450242
1.3,2.4,3.1,61.275,121042,3.451621
1.7,2.7,3.9,7.695,122946,1.006591
2.7,4.4,4.7,3.135,251543,0.49279
1.8,3.3,4.4,4.275,248346,0.514099
2.9,5.5,6,3.135,224897,0.356874
1.1,1.9,2.5,25.08,161188,1.725236
0.6,1,1.3,355.11,209506,8.75532
1.3,2.5,3.7,8.55,168080,1.022561
2.1,3,5.8,2.565,323483,0.601725
4,6.5,7.6,1.71,166870,0.317941
2.7,3.5,3.9,5.985,141038,1.121401
1.1,1.5,3.5,8.55,321933,0.933957
3.6,6.7,8.2,1.14,189602,0.266389
4.5,6.3,7.8,2.28,173342,0.660493
0.1,0.4,1.2,11331.315,93959,76.407644
1.5,3,5.7,1.71,207923,0.437232
2.8,4,6.5,1.995,166886,0.333726
1.2,2.4,3.2,7.98,153936,1.331785
1.4,2.8,5.1,3.705,273340,0.365982
1,1.3,3,11.115,266325,1.227978
0.7,1.1,1.7,278.73,257854,5.549541
1.4,2.4,2.9,5.985,187952,0.805288
1.8,2.8,3.1,6.84,223521,1.275316
2.7,4.2,6.8,1.14,205940,0.25772
2.3,3.7,6,1.995,140690,0.335915
3.3,3.8,4.1,6.555,91398,0.924479
2.6,4.2,4.9,5.13,136321,0.486869
1,1.1,1.4,37.05,84562,4.91191
0.7,1.2,1.8,128.82,90868,3.110615
2.5,3.4,4.8,3.705,194895,0.386192
1.7,3,4.3,2.85,98176,0.679484
2.1,2.4,2.9,11.97,91060,1.493955
1,1.3,3.2,17.385,200188,1.32623
2.5,2.6,2.7,13.68,101603,0.934222
1.5,3.4,5.4,2.85,300752,0.344833
1.1,1.8,2.3,9.405,213271,2.486658
2.7,4.4,4.6,4.275,199714,0.403034
1.8,3.2,6.1,1.995,220349,0.592538
4.4,4.7,5.2,3.135,166552,0.651241
3.6,4,4.7,5.985,141334,0.501572
0.6,0.9,1.4,310.365,279047,6.688163
1.3,2.5,4.3,6.27,181256,0.701916
3.1,5.5,7.1,1.425,272065,0.498374
1.2,1.3,1.8,46.74,82377,1.65001
2.3,3.2,5.5,3.135,240225,0.51265
3.2,3.6,5.4,3.705,224862,0.39302
2.2,4.1,6.1,0.855,155255,0.45577
0.4,0.9,1.5,751.26,234174,13.618855
4.5,6,6.5,2.28,311187,0.437616
1.1,1.7,3.5,13.395,257794,1.084716
1.4,2.2,3.1,21.66,194524,1.342512
2.2,2.4,4.2,13.965,136370,1.21143
